video_id,video_path,label,class_id,num_frames,num_landmarks,num_coordinates
MVI_9368,data\processed\landmarks_preprocessed\MVI_9368.npy,1. loud,0,47,50,3
MVI_9722,data\processed\landmarks_preprocessed\MVI_9722.npy,4. sad,3,62,50,3
MVI_9449,data\processed\landmarks_preprocessed\MVI_9449.npy,1. loud,0,47,50,3
MVI_9724,data\processed\landmarks_preprocessed\MVI_9724.npy,5. Beautiful,4,70,50,3
MVI_9538,data\processed\landmarks_preprocessed\MVI_9538.npy,2. quiet,1,66,50,3
MVI_9848,data\processed\landmarks_preprocessed\MVI_9848.npy,7. Deaf,6,52,50,3
MVI_5261,data\processed\landmarks_preprocessed\MVI_5261.npy,2. quiet,1,63,50,3
MVI_9290,data\processed\landmarks_preprocessed\MVI_9290.npy,1. loud,0,64,50,3
MVI_9537,data\processed\landmarks_preprocessed\MVI_9537.npy,2. quiet,1,69,50,3
MVI_9451,data\processed\landmarks_preprocessed\MVI_9451.npy,2. quiet,1,57,50,3
MVI_9373,data\processed\landmarks_preprocessed\MVI_9373.npy,2. quiet,1,47,50,3
MVI_5337,data\processed\landmarks_preprocessed\MVI_5337.npy,1. loud,0,48,50,3
MVI_5259,data\processed\landmarks_preprocessed\MVI_5259.npy,1. loud,0,64,50,3
MVI_9541,data\processed\landmarks_preprocessed\MVI_9541.npy,3. happy,2,57,50,3
MVI_9723,data\processed\landmarks_preprocessed\MVI_9723.npy,5. Beautiful,4,74,50,3
MVI_9853,data\processed\landmarks_preprocessed\MVI_9853.npy,8. Blind,7,56,50,3
MVI_9292,data\processed\landmarks_preprocessed\MVI_9292.npy,2. quiet,1,53,50,3
MVI_5183,data\processed\landmarks_preprocessed\MVI_5183.npy,3. happy,2,71,50,3
MVI_9851,data\processed\landmarks_preprocessed\MVI_9851.npy,7. Deaf,6,50,50,3
MVI_9721,data\processed\landmarks_preprocessed\MVI_9721.npy,4. sad,3,68,50,3
MVI_5179,data\processed\landmarks_preprocessed\MVI_5179.npy,1. loud,0,66,50,3
MVI_9849,data\processed\landmarks_preprocessed\MVI_9849.npy,7. Deaf,6,56,50,3
MVI_5184,data\processed\landmarks_preprocessed\MVI_5184.npy,3. happy,2,69,50,3
MVI_9581,data\processed\landmarks_preprocessed\MVI_9581.npy,7. Deaf,6,61,50,3
MVI_9725,data\processed\landmarks_preprocessed\MVI_9725.npy,5. Beautiful,4,70,50,3
MVI_5264,data\processed\landmarks_preprocessed\MVI_5264.npy,3. happy,2,56,50,3
