class_id,label,support,correct,errors,recall,recall_percent
5,14. thin,1,0,1,0.0,0.0
7,16. cheap,1,0,1,0.0,0.0
40,82. narrow,3,1,2,0.3333333333333333,33.33333333333333
54,95. bad,3,1,2,0.3333333333333333,33.33333333333333
38,80. tall,3,2,1,0.6666666666666666,66.66666666666666
39,81. wide,3,2,1,0.6666666666666666,66.66666666666666
44,86. fast,3,2,1,0.6666666666666666,66.66666666666666
55,96. wet,3,2,1,0.6666666666666666,66.66666666666666
56,97. dry,3,2,1,0.6666666666666666,66.66666666666666
36,79. short,4,4,0,1.0,100.0
42,84. small little,4,4,0,1.0,100.0
0,1. loud,3,3,0,1.0,100.0
11,2. quiet,3,3,0,1.0,100.0
22,3. happy,3,3,0,1.0,100.0
35,78. long,3,3,0,1.0,100.0
41,83. big large,3,3,0,1.0,100.0
43,85. slow,3,3,0,1.0,100.0
45,87. hot,3,3,0,1.0,100.0
46,88. cold,3,3,0,1.0,100.0
47,89. warm,3,3,0,1.0,100.0
49,90. cool,3,3,0,1.0,100.0
50,91. new,3,3,0,1.0,100.0
51,92. old,3,3,0,1.0,100.0
52,93. young,3,3,0,1.0,100.0
53,94. good,3,3,0,1.0,100.0
57,98. sick,3,3,0,1.0,100.0
58,99. healthy,3,3,0,1.0,100.0
1,10. Mean,2,2,0,1.0,100.0
2,11. rich,2,2,0,1.0,100.0
14,22. loose,2,2,0,1.0,100.0
24,31. strong,2,2,0,1.0,100.0
25,32. weak,2,2,0,1.0,100.0
29,36. light,2,2,0,1.0,100.0
31,4. sad,2,2,0,1.0,100.0
32,5. Beautiful,2,2,0,1.0,100.0
3,12. poor,1,1,0,1.0,100.0
4,13. thick,1,1,0,1.0,100.0
6,15. expensive,1,1,0,1.0,100.0
8,17. flat,1,1,0,1.0,100.0
9,18. curved,1,1,0,1.0,100.0
10,19. male,1,1,0,1.0,100.0
12,20. female,1,1,0,1.0,100.0
13,21. tight,1,1,0,1.0,100.0
15,23. high,1,1,0,1.0,100.0
16,24. low,1,1,0,1.0,100.0
17,25. soft,1,1,0,1.0,100.0
18,26. hard,1,1,0,1.0,100.0
19,27. deep,1,1,0,1.0,100.0
20,28. shallow,1,1,0,1.0,100.0
21,29. clean,1,1,0,1.0,100.0
23,30. dirty,1,1,0,1.0,100.0
26,33. dead,1,1,0,1.0,100.0
27,34. alive,1,1,0,1.0,100.0
28,35. heavy,1,1,0,1.0,100.0
30,39. famous,1,1,0,1.0,100.0
33,6. Ugly,1,1,0,1.0,100.0
34,7. Deaf,1,1,0,1.0,100.0
37,8. Blind,1,1,0,1.0,100.0
48,9. Nice,1,1,0,1.0,100.0
